,year,month,Global,S1,S2,S3,other,Type,date,cost
1,2007,1,1150,56,79,330,685,Historical,01/2007,330.51
2,2007,2,941,48,65,270,559,Historical,02/2007,270.4434
3,2007,3,981,61,105,290,525,Historical,03/2007,281.9394
4,2007,4,586,42,38,190,316,Historical,04/2007,168.4164
5,2007,5,733,76,72,229,356,Historical,05/2007,210.6642
6,2007,6,595,60,70,189,276,Historical,06/2007,171.0030
7,2007,7,495,43,56,155,241,Historical,07/2007,142.2630
8,2007,8,568,36,50,225,257,Historical,08/2007,163.2432
9,2007,9,698,53,75,226,343,Historical,09/2007,200.6052
10,2007,10,821,43,88,256,434,Historical,10/2007,235.9554
11,2007,11,932,51,74,300,508,Historical,11/2007,267.8568
12,2007,12,1210,74,83,362,691,Historical,12/2007,347.7540
13,2008,1,1086,62,63,312,649,Historical,01/2008,312.1164
14,2008,2,822,40,57,256,469,Historical,02/2008,236.2428
15,2008,3,927,63,79,280,504,Historical,03/2008,266.4198
16,2008,4,803,47,71,296,390,Historical,04/2008,230.7822
17,2008,5,762,53,59,291,359,Historical,05/2008,218.9988
18,2008,6,716,69,63,290,293,Historical,06/2008,205.7784
19,2008,7,591,47,44,227,272,Historical,07/2008,169.8534
20,2008,8,206,4,22,80,100,Historical,08/2008,59.2044
21,2008,9,711,52,45,284,330,Historical,09/2008,204.3414
22,2008,10,845,44,63,276,462,Historical,10/2008,242.8530
23,2008,11,998,58,56,281,604,Historical,11/2008,286.8252
24,2008,12,947,45,39,307,555,Historical,12/2008,272.1678
25,2009,1,1049,75,73,330,572,Historical,01/2009,301.4826
26,2009,2,837,47,51,296,443,Historical,02/2009,240.5538
27,2009,3,913,65,48,329,471,Historical,03/2009,262.3962
28,2009,4,821,55,53,308,406,Historical,04/2009,235.9554
29,2009,5,753,44,50,311,349,Historical,05/2009,216.4122
30,2009,6,559,31,30,260,238,Historical,06/2009,160.6566
31,2009,7,460,18,43,188,211,Historical,07/2009,132.2040
32,2009,8,485,34,38,192,220,Historical,08/2009,139.3890
33,2009,9,710,52,46,297,316,Historical,09/2009,204.0540
34,2009,10,851,55,54,328,416,Historical,10/2009,244.5774
35,2009,11,918,60,53,336,468,Historical,11/2009,263.8332
36,2009,12,1015,58,53,384,520,Historical,12/2009,291.7110
37,2010,1,990,54,57,396,483,Historical,01/2010,284.5260
38,2010,2,925,49,54,412,410,Historical,02/2010,265.8450
39,2010,3,803,35,61,324,382,Historical,03/2010,230.7822
40,2010,4,740,38,36,336,329,Historical,04/2010,212.6760
41,2010,5,815,48,52,365,350,Historical,05/2010,234.2310
42,2010,6,698,66,48,307,278,Historical,06/2010,200.6052
43,2010,7,536,18,34,193,292,Historical,07/2010,154.0464
44,2010,8,368,12,27,160,169,Historical,08/2010,105.7632
45,2010,9,605,37,33,258,278,Historical,09/2010,173.8770
46,2010,10,866,48,60,316,441,Historical,10/2010,248.8884
47,2010,11,743,46,42,247,408,Historical,11/2010,213.5382
48,2010,12,973,,,,,Forecast,12/2010,279.6402
49,2011,1,1026,,,,,Forecast,01/2011,294.8724
50,2011,2,871,,,,,Forecast,02/2011,250.3254
51,2011,3,870,,,,,Forecast,03/2011,250.0380
52,2011,4,790,,,,,Forecast,04/2011,227.0460
53,2011,5,777,,,,,Forecast,05/2011,223.3098
54,2011,6,613,,,,,Forecast,06/2011,176.1762
55,2011,7,489,,,,,Forecast,07/2011,140.5386
56,2011,8,440,,,,,Forecast,08/2011,126.4560
57,2011,9,670,,,,,Forecast,09/2011,192.5580
58,2011,10,857,,,,,Forecast,10/2011,246.3018
59,2011,11,851,,,,,Forecast,11/2011,244.5774
60,2011,12,999,,,,,Forecast,12/2011,287.1126
